id;duree;date_debut;date_fin
1;system;2021-09-01T18:22:07;2021-09-01T09:32:41
2;Hat Focused withdrawal;2021-09-01T15:37:52;2021-09-02T01:29:21
3;Tools recontextualize Games;2021-09-01T14:14:29;2021-09-01T19:10:49
4;Tasty;2021-09-02T05:23:09;2021-09-02T02:25:53
5;action-items Borders Belgique;2021-09-02T02:40:34;2021-09-01T10:22:19
6;ivory plum;2021-09-02T00:41:15;2021-09-02T00:29:37
7;Licensed aggregate;2021-09-02T03:34:03;2021-09-02T01:15:32
8;Producteur web-readiness;2021-09-01T06:57:26;2021-09-02T04:09:48
9;Jewelery index e-markets;2021-09-01T23:45:34;2021-09-01T21:50:13
10;c state;2021-09-02T03:13:53;2021-09-01T09:06:37
