id;date_debut;date_fin;nbre_participant;nbre_heure;heure_debut;heure_fin;contenu_formation
1;2021-09-01T06:49:06;2021-09-01T07:05:38;40296;1451;2021-09-01T23:22:40;2021-09-01T19:09:56;engine niches a
2;2021-09-01T16:53:38;2021-09-01T20:49:12;57173;54649;2021-09-02T02:32:40;2021-09-01T21:42:26;explicit wireless Kids
3;2021-09-01T15:41:40;2021-09-02T06:04:18;23356;16667;2021-09-01T22:28:31;2021-09-01T12:23:28;transmit
4;2021-09-01T18:55:35;2021-09-02T02:25:49;97386;7084;2021-09-01T12:57:34;2021-09-02T02:52:54;revolutionize Plastic
5;2021-09-02T04:08:24;2021-09-01T12:54:12;83336;77469;2021-09-01T16:04:35;2021-09-01T15:03:21;syndicate du
6;2021-09-02T00:22:20;2021-09-01T12:02:15;67110;44902;2021-09-02T04:04:56;2021-09-02T04:06:17;redundant Developpeur
7;2021-09-02T01:01:05;2021-09-01T20:48:27;7588;34338;2021-09-02T04:37:04;2021-09-01T13:52:01;Molière
8;2021-09-02T02:46:23;2021-09-01T21:23:05;84790;24165;2021-09-01T10:40:36;2021-09-01T09:53:50;white
9;2021-09-01T06:41:28;2021-09-01T10:33:56;68376;95048;2021-09-01T23:19:41;2021-09-01T17:10:03;conglomeration
10;2021-09-01T12:36:57;2021-09-01T21:22:02;68767;24648;2021-09-01T08:09:42;2021-09-01T23:47:31;lime Compatible b
